proj,path,prefix,posfix,tag,psf,mask,type,comment,telescope,system,tracer,test
nearby,/Volumes/Scratch/data_repo/projects/nearby/irac1/,,.phot_bgsub.1,irac1,1.66,.1.final_mask,2d,Spitzer,Spitzer,neon,star,nearby-r
nearby,/Volumes/Scratch/data_repo/projects/nearby/irac1/,,.phot_bgsub.1e,irac1e,1.66,.1.final_mask,2de,Spitzer,Spitzer,neon,star,nearby-r
nearby,/Volumes/Scratch/data_repo/projects/nearby/irac2/,,.phot_bgsub.2,irac2,1.66,.2.final_mask,2d,Spitzer,Spitzer,neon,star,nearby-r
nearby,/Volumes/Scratch/data_repo/projects/nearby/irac2/,,.phot_bgsub.2e,irac2e,1.66,.2.final_mask,2de,Spitzer,Spitzer,neon,star,nearby-r
nearby,/Volumes/Scratch/data_repo/projects/nearby/irac4/,,.phot_bgsub.4,irac4,1.98,,2d,Spitzer,Spitzer,neon,pah,nearby-r
nearby,/Volumes/Scratch/data_repo/projects/nearby/irac4/,,.phot_bgsub.4e,irac4e,1.98,,2de,Spitzer,Spitzer,neon,pah,nearby-r
nearby,/Volumes/Scratch/data_repo/projects/nearby/mips/,,.mips24,mips24,6,,2d,herschel,herschel,neon,hotdust,
nearby,/Volumes/Scratch/data_repo/projects/nearby/mips/,,.mips70,mips70,18,,2d,herschel,herschel,neon,hotdust,
nearby,/Volumes/Scratch/data_repo/projects/nearby/mips/,,.mips160,mips160,40,,2d,herschel,herschel,neon,hotdust,
nearby,/Volumes/Scratch/data_repo/projects/nearby/herschel/,,.pacs70,pacs70,5.6,,2d,herschel,herschel,neon,dust,
nearby,/Volumes/Scratch/data_repo/projects/nearby/herschel/,,.pacs100,pacs100,6.8,,2d,herschel,herschel,neon,dust,
nearby,/Volumes/Scratch/data_repo/projects/nearby/herschel/,,.pacs160,pacs160,11.4,,2d,herschel,herschel,neon,dust,
nearby,/Volumes/Scratch/data_repo/projects/nearby/herschel/,,.spire250,spire250,18.2,,2d,herschel,herschel,neon,dust,
nearby,/Volumes/Scratch/data_repo/projects/nearby/herschel/,,.spire350,spire350,24.9,,2d,herschel,herschel,neon,dust,
nearby,/Volumes/Scratch/data_repo/projects/nearby/herschel/,,.spire500,spire500,36.3,,2d,herschel,herschel,neon,dust,
,,,,,,,,,,,,
nearby,/Volumes/Scratch/data_repo/projects/nearby/sting/,,co.line.cm.sgm.mom0,co,-1,,2d,STING,CARMA,neon,molecular,nearby-r
nearby,/Volumes/Scratch/data_repo/projects/nearby/sting/,,co.line.cm.sgm.emom0,coe,-1,,2de,STING,CARMA,neon,molecular,nearby-r
nearby,/Volumes/Scratch/data_repo/projects/nearby/sting/,,co.line.cm.sgm.mom1,comom1,-1,,2d,STING,CARMA,neon,molecular,
nearby,/Volumes/Scratch/data_repo/projects/nearby/sting/,,co.line.cm.sgm.mom2,comom2,-1,,2d,STING,CARMA,neon,molecular,
nearby,/Volumes/Scratch/data_repo/projects/nearby/sting/,,co.line.cm.sgm.snrpk,cosnrpk,-1,,2d,STING,CARMA,neon,molecular,
nearby,/Volumes/Scratch/data_repo/projects/nearby/sting/,,co.line.cm.sgm.rms,corms,-1,,2de,STING,CARMA,neon,molecular,
nearby,/Volumes/Scratch/data_repo/projects/nearby/sting/,,co.line.err,coerr,-1,,3de,STING,CARMA,neon,molecular,
,,,,,,,,,,,,
nearby,/Volumes/Scratch/data_repo/projects/nearby/sting/,,hi.line.cm.sgm.mom0,hi,-1,,2d,STING,VLA,neon,atomic,nearby-r
nearby,/Volumes/Scratch/data_repo/projects/nearby/sting/,,hi.line.cm.sgm.emom0,hie,-1,,2de,STING,VLA,neon,atomic,nearby-r
nearby,/Volumes/Scratch/data_repo/projects/nearby/sting/,,hi.line.cm.sgm.mom1,himom1,-1,,2d,STING,VLA,neon,atomic,
nearby,/Volumes/Scratch/data_repo/projects/nearby/sting/,,hi.line.cm.sgm.mom2,himom2,-1,,2d,STING,VLA,neon,atomic,
nearby,/Volumes/Scratch/data_repo/projects/nearby/sting/,,hi.line.cm.sgm.snrpk,hisnrpk,-1,,2d,STING,VLA,neon,atomic,
nearby,/Volumes/Scratch/data_repo/projects/nearby/sting/,,hi.line.cm.sgm.rms,hirms,-1,,2de,STING,VLA,neon,atomic,
nearby,/Volumes/Scratch/data_repo/projects/nearby/sting/,,hi.cont.cm,cont,-1,,2d,STING,VLA,neon,freefree,nearby-r
nearby,/Volumes/Scratch/data_repo/projects/nearby/sting/,,hi.cont.sen,conte,-1,,2de,STING,VLA,neon,freefree,nearby-r
,,,,,,,,,,neon,,
nearby,/Volumes/Scratch/data_repo/projects/nearby/heracles/,,.co21.mom0,co21,-1,,2d,heracles,IRAM30,neon,molecular,nearby-r
nearby,/Volumes/Scratch/data_repo/projects/nearby/heracles/,,.co21.emom0,co21e,-1,,2de,heracles,IRAM31,neon,molecular,nearby-r
nearby,/Volumes/Scratch/data_repo/projects/nearby/things/,,.hi_things.cm.mom0,hi_things,-1,,2d,things,VLA,neon,atomic,nearby-r
nearby,/Volumes/Scratch/data_repo/projects/nearby/things/,,.hi_things.cm.emom0,hie_things,-1,,2de,things,VLA,neon,atomic,nearby-r
nearby,/Volumes/Scratch/data_repo/projects/nearby/paws/,,.co_paws.cm.mom0,co_paws,-1,,2d,paws,PdBI,neon,molecular,
nearby,/Volumes/Scratch/data_repo/projects/nearby/paws/,,.co_paws.cm.emom0,coe_paws,-1,,2de,paws,PdBI,neon,molecular,
,,,,,,,,,,,,
nearby,/Volumes/Scratch/data_repo/projects/nearby/galex/,,-nd-wt,nuv-wt,5.3,,2dw,link broken,GALEX,neon,rad,
nearby,/Volumes/Scratch/data_repo/projects/nearby/galex/,,-nd-intbgsub,nuv,5.3,,2d,link broken,GALEX,neon,rad,
nearby,/Volumes/Scratch/data_repo/projects/nearby/galex/,,-fd-wt,fuv-wt,4.3,,2dw,link broken,GALEX,neon,rad,
nearby,/Volumes/Scratch/data_repo/projects/nearby/galex/,,-fd-intbgsub,fuv,4.3,,2d,link broken,GALEX,neon,rad,
nearby,/Volumes/Scratch/data_repo/optical/sting/,,.frame-g,sdssg,1,,2d,optical,SDSS,neon,star,
nearby,/Volumes/Scratch/data_repo/optical/sting/,,.dss,dss,1,,2d,optical,DSS,neon,star,
,,,,,,,,,,,,
magclouds,/Volumes/Scratch/data_repo/projects/magclouds/gasmap/,,.co_nanten.cm.sm.mom0,co_nanten,-1,,2d,magclouds,MOPRA,neon,molecular,
magclouds,/Volumes/Scratch/data_repo/projects/magclouds/gasmap/,,.co_magma.cm.sm.mom0,co_magma,-1,,2d,magclouds,MOPRA,neon,molecular,
magclouds,/Volumes/Scratch/data_repo/projects/magclouds/gasmap/,,.hi.cm.sm.mom0,hi_at,-1,,2d,magclouds,ATCA,neon,atomic,
magclouds,/Volumes/Scratch/data_repo/projects/magclouds/gasmap/,,.co_nanten.cm.sm.emom0,coe_nanten,-1,,2de,magclouds,MOPRA,neon,molecular,
magclouds,/Volumes/Scratch/data_repo/projects/magclouds/gasmap/,,.co_magma.cm.sm.emom0,coe_magma,-1,,2de,magclouds,MOPRA,neon,molecular,
magclouds,/Volumes/Scratch/data_repo/projects/magclouds/gasmap/,,.hi.cm.sm.emom0,hie_at,-1,,2de,magclouds,ATCA,neon,atomic,
magclouds,/Volumes/Scratch/data_repo/herschel/HERITAGE/Data/,,.HERITAGE.PACS100.img,pacs100,6.8,,2d,magclouds,herschel,neon,dust,
magclouds,/Volumes/Scratch/data_repo/herschel/HERITAGE/Data/,,.HERITAGE.PACS160.img,pacs160,11.4,,2d,magclouds,herschel,neon,dust,
magclouds,/Volumes/Scratch/data_repo/herschel/HERITAGE/Data/,,.HERITAGE.SPIRE250.img,spire250,18.2,,2d,magclouds,herschel,neon,dust,
